epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83473,1.32363,3.8204,1.18404,0,0,0,0,1.61505,4.5017,1.19975,0.00031,0.00031,0.00031
2,8.30787,1.20258,2.63386,1.07072,0.02326,1,0.995,0.398,2.05867,3.57379,1.30474,0.000623763,0.000623763,0.000623763
3,11.655,1.2403,2.1858,1.08856,0.02273,1,0.995,0.597,1.79284,2.60627,1.27435,0.00093119,0.00093119,0.00093119
4,14.9857,1.26075,2.02193,1.10281,0.9117,1,0.995,0.597,1.66014,1.53461,1.41238,0.0009703,0.0009703,0.0009703
5,18.3553,1.14232,1.85447,1.07051,0.94272,1,0.995,0.4975,2.15195,1.76258,1.56364,0.0009604,0.0009604,0.0009604
6,21.6511,1.19142,1.84518,1.10453,0.97293,1,0.995,0.597,1.77429,1.54525,1.39349,0.0009505,0.0009505,0.0009505
7,25.0076,1.13492,1.74176,1.0904,0.96298,1,0.995,0.4975,1.9433,1.2488,1.5843,0.0009406,0.0009406,0.0009406
8,28.3558,1.09679,1.62174,1.07299,0.81124,1,0.995,0.6965,1.15934,1.75671,1.17625,0.0009307,0.0009307,0.0009307
9,31.8987,1.09245,1.6053,1.05499,0.97398,1,0.995,0.6965,1.48778,1.30479,1.45223,0.0009208,0.0009208,0.0009208
10,35.2521,1.06348,1.5313,1.03302,0.97379,1,0.995,0.597,1.70909,1.06216,1.6728,0.0009109,0.0009109,0.0009109
11,38.571,1.05397,1.49641,1.05933,0.97438,1,0.995,0.6965,1.59202,1.20186,1.40951,0.000901,0.000901,0.000901
12,41.9573,1.09454,1.47756,1.09139,0.97467,1,0.995,0.597,1.7895,1.3528,1.48335,0.0008911,0.0008911,0.0008911
13,45.2994,1.01403,1.39331,1.04414,0.97459,1,0.995,0.5174,1.78353,1.85514,1.49199,0.0008812,0.0008812,0.0008812
14,48.7181,1.07257,1.38051,1.03437,0.97062,1,0.995,0.6965,1.40365,0.92381,1.21853,0.0008713,0.0008713,0.0008713
15,52.0241,1.04478,1.42738,1.04927,0.97332,1,0.995,0.597,1.5688,0.91395,1.41377,0.0008614,0.0008614,0.0008614
16,55.3094,0.98138,1.31059,1.03068,0.97197,1,0.995,0.597,1.56762,0.99518,1.42448,0.0008515,0.0008515,0.0008515
17,58.5824,1.02506,1.29919,1.03367,0.97262,1,0.995,0.597,1.48603,1.27222,1.37541,0.0008416,0.0008416,0.0008416
18,61.9199,0.97502,1.19807,0.98758,0.96569,1,0.995,0.597,1.88177,1.23624,1.43678,0.0008317,0.0008317,0.0008317
19,65.2932,1.0502,1.25359,1.03171,0.97015,1,0.995,0.4975,1.69049,1.17147,1.50756,0.0008218,0.0008218,0.0008218
20,68.6381,0.97347,1.25285,1.0224,0.97322,1,0.995,0.51559,1.81511,0.97471,1.54473,0.0008119,0.0008119,0.0008119
21,71.9887,0.98411,1.16834,1.02121,0.97054,1,0.995,0.597,1.8047,1.04272,1.62879,0.000802,0.000802,0.000802
22,75.3741,0.95296,1.1232,1.00964,0.97444,1,0.995,0.6965,1.3346,0.9057,1.26549,0.0007921,0.0007921,0.0007921
23,78.6062,0.92837,1.14655,0.97857,0.97418,1,0.995,0.6965,1.07595,0.92658,1.13225,0.0007822,0.0007822,0.0007822
24,82.011,0.96179,1.11774,1.01509,0.97387,1,0.995,0.6965,1.2006,0.83966,1.16811,0.0007723,0.0007723,0.0007723
25,85.3778,0.93433,1.07546,0.99676,0.97414,1,0.995,0.6965,1.01888,1.59535,1.11585,0.0007624,0.0007624,0.0007624
26,88.7102,0.96565,1.13121,1.01524,0.97304,1,0.995,0.6965,1.15599,0.84253,1.23221,0.0007525,0.0007525,0.0007525
27,92.0806,0.90972,1.09605,0.99002,0.97348,1,0.995,0.6965,1.40404,1.1198,1.37524,0.0007426,0.0007426,0.0007426
28,95.3758,0.91123,1.0163,0.98548,0.9741,1,0.995,0.6965,1.06425,1.11488,1.28683,0.0007327,0.0007327,0.0007327
